@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
8842,'2020/02/19 11:42:10:599',14,224,85,75,4,1,1,1,10,?,?,?,?,?
8843,'2020/02/19 11:42:10:599',14,224,85,75,4,1,1,1,10,?,?,?,?,?
8844,'2020/02/19 11:42:10:599',14,224,85,75,4,1,1,1,10,?,?,?,?,?
8845,'2020/02/19 11:42:10:599',14,224,85,75,4,1,1,1,10,?,?,?,?,?
8846,'2020/02/19 11:42:10:657',14,229,85,75,4,1,1,1,10,?,?,?,?,?
8847,'2020/02/19 11:42:10:657',14,229,72,75,4,1,1,1,10,?,?,?,?,?
8848,'2020/02/19 11:42:10:658',14,229,72,76,4,1,1,1,10,?,?,?,?,?
8849,'2020/02/19 11:42:10:658',14,229,72,76,4,1,1,1,10,?,?,?,?,?
8850,'2020/02/19 11:42:10:658',14,229,72,76,4,1,1,1,10,?,?,?,?,?
8851,'2020/02/19 11:42:10:658',14,229,72,76,4,1,1,1,10,?,?,?,?,?
8852,'2020/02/19 11:42:10:658',14,229,72,76,4,1,1,1,10,?,?,?,?,?
8853,'2020/02/19 11:42:10:705',14,231,72,76,4,1,1,1,10,?,?,?,?,?
8854,'2020/02/19 11:42:10:705',14,231,61,76,4,1,1,1,10,?,?,?,?,?
8855,'2020/02/19 11:42:10:705',14,231,61,75,4,1,1,1,10,?,?,?,?,?
8856,'2020/02/19 11:42:10:705',14,231,61,75,4,1,1,1,10,?,?,?,?,?
8857,'2020/02/19 11:42:10:705',14,231,61,75,4,1,1,1,10,?,?,?,?,?
8858,'2020/02/19 11:42:10:706',14,231,61,75,4,1,1,1,10,?,?,?,?,?
8859,'2020/02/19 11:42:10:706',14,231,61,75,4,1,1,1,10,?,?,?,?,?
8860,'2020/02/19 11:42:10:761',14,227,61,75,4,1,1,1,10,?,?,?,?,?
8861,'2020/02/19 11:42:10:761',14,227,52,75,4,1,1,1,10,?,?,?,?,?
8862,'2020/02/19 11:42:10:761',14,227,52,73,4,1,1,1,10,?,?,?,?,?
8863,'2020/02/19 11:42:10:762',14,227,52,73,4,1,1,1,10,?,?,?,?,?
8864,'2020/02/19 11:42:10:762',14,227,52,73,4,1,1,1,10,?,?,?,?,?
8865,'2020/02/19 11:42:10:762',14,227,52,73,4,1,1,1,10,?,?,?,?,?
8866,'2020/02/19 11:42:10:762',14,227,52,73,4,1,1,1,10,?,?,?,?,?
8867,'2020/02/19 11:42:10:810',14,218,52,73,4,1,1,1,10,?,?,?,?,?
8868,'2020/02/19 11:42:10:810',14,218,47,73,4,1,1,1,10,?,?,?,?,?
8869,'2020/02/19 11:42:10:810',14,218,47,72,4,1,1,1,10,?,?,?,?,?
8870,'2020/02/19 11:42:10:810',14,218,47,72,4,1,1,1,10,?,?,?,?,?
8871,'2020/02/19 11:42:10:810',14,218,47,72,4,1,1,1,10,?,?,?,?,?
8872,'2020/02/19 11:42:10:810',14,218,47,72,4,1,2,1,10,?,?,?,?,?
8873,'2020/02/19 11:42:10:811',14,218,47,72,4,1,2,1,10,?,?,?,?,?
8874,'2020/02/19 11:42:10:868',14,204,47,72,4,1,2,1,10,?,?,?,?,?
8875,'2020/02/19 11:42:10:868',14,204,43,72,4,1,2,1,10,?,?,?,?,?
8876,'2020/02/19 11:42:10:869',14,204,43,69,4,1,2,1,10,?,?,?,?,?
8877,'2020/02/19 11:42:10:869',14,204,43,69,4,1,2,1,10,?,?,?,?,?
8878,'2020/02/19 11:42:10:869',14,204,43,69,4,1,2,1,10,?,?,?,?,?
8879,'2020/02/19 11:42:10:869',14,204,43,69,4,1,1,1,10,?,?,?,?,?
8880,'2020/02/19 11:42:10:869',14,204,43,69,4,1,1,1,10,?,?,?,?,?
8881,'2020/02/19 11:42:10:915',14,191,43,69,4,1,1,1,10,?,?,?,?,?
8882,'2020/02/19 11:42:10:916',14,191,41,69,4,1,1,1,10,?,?,?,?,?
8883,'2020/02/19 11:42:10:916',14,191,41,66,4,1,1,1,10,?,?,?,?,?
8884,'2020/02/19 11:42:10:916',14,191,41,66,4,1,1,1,10,?,?,?,?,?
8885,'2020/02/19 11:42:10:917',14,191,41,66,4,1,1,1,10,?,?,?,?,?
8886,'2020/02/19 11:42:10:917',14,191,41,66,4,1,1,1,10,?,?,?,?,?
8887,'2020/02/19 11:42:10:917',14,191,41,66,4,1,1,1,10,?,?,?,?,?
8888,'2020/02/19 11:42:10:971',14,181,41,66,4,1,1,1,10,?,?,?,?,?
8889,'2020/02/19 11:42:10:971',14,181,40,66,4,1,1,1,10,?,?,?,?,?
8890,'2020/02/19 11:42:10:971',14,181,40,63,4,1,1,1,10,?,?,?,?,?
8891,'2020/02/19 11:42:10:971',14,181,40,63,4,1,1,1,10,?,?,?,?,?
8892,'2020/02/19 11:42:10:971',14,181,40,63,4,1,1,1,10,?,?,?,?,?
8893,'2020/02/19 11:42:10:971',14,181,40,63,4,1,1,1,10,?,?,?,?,?
8894,'2020/02/19 11:42:10:971',14,181,40,63,4,1,1,1,10,?,?,?,?,?
8895,'2020/02/19 11:42:11:023',14,171,40,63,4,1,1,1,10,?,?,?,?,?
8896,'2020/02/19 11:42:11:023',14,171,40,63,4,1,1,1,10,?,?,?,?,?
8897,'2020/02/19 11:42:11:024',14,171,40,61,4,1,1,1,10,?,?,?,?,?
8898,'2020/02/19 11:42:11:024',14,171,40,61,4,1,1,1,10,?,?,?,?,?
8899,'2020/02/19 11:42:11:024',14,171,40,61,4,1,1,1,10,?,?,?,?,?
8900,'2020/02/19 11:42:11:025',14,171,40,61,4,1,1,1,10,?,?,?,?,?
8901,'2020/02/19 11:42:11:025',14,171,40,61,4,1,1,1,10,?,?,?,?,?
8902,'2020/02/19 11:42:11:082',14,155,40,61,4,1,1,1,10,?,?,?,?,?
8903,'2020/02/19 11:42:11:083',14,155,40,61,4,1,1,1,10,?,?,?,?,?
8904,'2020/02/19 11:42:11:083',14,155,40,58,4,1,1,1,10,?,?,?,?,?
8905,'2020/02/19 11:42:11:083',14,155,40,58,4,1,1,1,10,?,?,?,?,?
8906,'2020/02/19 11:42:11:083',14,155,40,58,4,1,1,1,10,?,?,?,?,?
8907,'2020/02/19 11:42:11:083',14,155,40,58,4,1,1,1,10,?,?,?,?,?
8908,'2020/02/19 11:42:11:083',14,155,40,58,4,1,1,1,10,?,?,?,?,?
8909,'2020/02/19 11:42:11:134',14,142,40,58,4,1,1,1,10,?,?,?,?,?
8910,'2020/02/19 11:42:11:135',14,142,40,58,4,1,1,1,10,?,?,?,?,?
8911,'2020/02/19 11:42:11:135',14,142,40,57,4,1,1,1,10,?,?,?,?,?
8912,'2020/02/19 11:42:11:135',14,142,40,57,4,1,1,1,10,?,?,?,?,?
8913,'2020/02/19 11:42:11:135',14,142,40,57,4,1,1,1,10,?,?,?,?,?
8914,'2020/02/19 11:42:11:135',14,142,40,57,4,1,1,1,10,?,?,?,?,?
8915,'2020/02/19 11:42:11:135',14,142,40,57,4,1,1,1,10,?,?,?,?,?
8916,'2020/02/19 11:42:11:183',14,129,40,57,4,1,1,1,10,?,?,?,?,?
8917,'2020/02/19 11:42:11:184',14,129,40,57,4,1,1,1,10,?,?,?,?,?
8918,'2020/02/19 11:42:11:184',14,129,40,55,4,1,1,1,10,?,?,?,?,?
8919,'2020/02/19 11:42:11:184',14,129,40,55,4,1,1,1,10,?,?,?,?,?
8920,'2020/02/19 11:42:11:185',14,129,40,55,4,1,1,1,10,?,?,?,?,?
8921,'2020/02/19 11:42:11:185',14,129,40,55,4,1,1,1,10,?,?,?,?,?
8922,'2020/02/19 11:42:11:185',14,129,40,55,4,1,1,1,10,?,?,?,?,?
8923,'2020/02/19 11:42:11:235',14,118,40,55,4,1,1,1,10,?,?,?,?,?
8924,'2020/02/19 11:42:11:235',14,118,40,55,4,1,1,1,10,?,?,?,?,?
8925,'2020/02/19 11:42:11:235',14,118,40,53,4,1,1,1,10,?,?,?,?,?
8926,'2020/02/19 11:42:11:236',14,118,40,53,4,1,1,1,10,?,?,?,?,?
8927,'2020/02/19 11:42:11:236',14,118,40,53,4,1,1,1,10,?,?,?,?,?
8928,'2020/02/19 11:42:11:236',14,118,40,53,4,1,1,1,10,?,?,?,?,?
8929,'2020/02/19 11:42:11:236',14,118,40,53,4,1,1,1,10,?,?,?,?,?
8930,'2020/02/19 11:42:11:287',14,107,40,53,4,1,1,1,10,?,?,?,?,?
8931,'2020/02/19 11:42:11:288',14,107,40,53,4,1,1,1,10,?,?,?,?,?
8932,'2020/02/19 11:42:11:288',14,107,40,51,4,1,1,1,10,?,?,?,?,?
8933,'2020/02/19 11:42:11:288',14,107,40,51,4,1,1,1,10,?,?,?,?,?
8934,'2020/02/19 11:42:11:289',14,107,40,51,4,1,1,1,10,?,?,?,?,?
8935,'2020/02/19 11:42:11:289',14,107,40,51,4,1,1,1,10,?,?,?,?,?
8936,'2020/02/19 11:42:11:289',14,107,40,51,4,1,1,2,10,?,?,?,?,?
8937,'2020/02/19 11:42:11:346',14,101,40,51,4,1,1,2,10,?,?,?,?,?
8938,'2020/02/19 11:42:11:346',14,101,40,51,4,1,1,2,10,?,?,?,?,?
8939,'2020/02/19 11:42:11:346',14,101,40,52,4,1,1,2,10,?,?,?,?,?
8940,'2020/02/19 11:42:11:346',14,101,40,52,4,1,1,2,10,?,?,?,?,?
8941,'2020/02/19 11:42:11:346',14,101,40,52,4,1,1,2,10,?,?,?,?,?
8942,'2020/02/19 11:42:11:346',14,101,40,52,4,1,1,2,10,?,?,?,?,?
