@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
375,'2022/03/31 18:31:00:555',3,39,1125,1070,2,2,2,2,1,0,?,?,?,?,?
376,'2022/03/31 18:31:00:707',3,40,1116,1064,2,2,2,2,1,0,?,?,?,?,?
377,'2022/03/31 18:31:00:861',3,39,1074,1074,2,2,2,1,1,0,?,?,?,?,?
378,'2022/03/31 18:31:01:016',3,40,1010,1114,2,2,2,1,1,0,?,?,?,?,?
379,'2022/03/31 18:31:01:170',3,40,932,1097,2,1,2,1,1,0,?,?,?,?,?
380,'2022/03/31 18:31:01:324',3,39,931,1064,2,1,2,1,1,0,?,?,?,?,?
381,'2022/03/31 18:31:01:477',3,39,984,1007,2,1,2,2,1,0,?,?,?,?,?
382,'2022/03/31 18:31:01:634',3,39,1050,948,2,1,1,2,1,0,?,?,?,?,?
383,'2022/03/31 18:31:01:797',3,40,1125,876,1,1,1,2,1,0,?,?,?,?,?
384,'2022/03/31 18:31:01:950',3,40,1125,826,1,2,2,1,1,0,?,?,?,?,?
385,'2022/03/31 18:31:02:106',3,40,1125,797,2,2,2,1,1,0,?,?,?,?,?
386,'2022/03/31 18:31:02:266',3,39,1107,783,2,2,1,1,1,0,?,?,?,?,?
387,'2022/03/31 18:31:02:421',3,39,961,806,1,2,2,1,1,0,?,?,?,?,?
388,'2022/03/31 18:31:02:578',3,39,797,824,1,2,2,2,1,0,?,?,?,?,?
389,'2022/03/31 18:31:02:735',3,39,558,845,2,2,2,2,1,0,?,?,?,?,?
390,'2022/03/31 18:31:02:890',3,39,395,879,2,2,2,2,1,0,?,?,?,?,?
391,'2022/03/31 18:31:03:044',3,39,358,910,2,2,2,2,1,0,?,?,?,?,?
392,'2022/03/31 18:31:03:198',3,38,403,964,2,2,2,2,1,0,?,?,?,?,?
393,'2022/03/31 18:31:03:350',3,38,558,1021,2,2,2,2,1,0,?,?,?,?,?
394,'2022/03/31 18:31:03:504',3,38,770,1035,2,2,2,1,1,0,?,?,?,?,?
395,'2022/03/31 18:31:03:656',3,39,890,1007,2,2,2,1,1,0,?,?,?,?,?
396,'2022/03/31 18:31:03:814',3,39,875,939,2,2,2,2,1,0,?,?,?,?,?
397,'2022/03/31 18:31:03:970',3,40,872,862,2,2,2,2,1,0,?,?,?,?,?
398,'2022/03/31 18:31:04:125',3,40,835,781,2,2,2,1,1,0,?,?,?,?,?
399,'2022/03/31 18:31:04:278',3,40,767,711,1,2,2,2,1,0,?,?,?,?,?
400,'2022/03/31 18:31:04:436',3,40,727,630,2,2,2,2,1,0,?,?,?,?,?
401,'2022/03/31 18:31:04:595',3,40,667,569,1,2,1,2,1,0,?,?,?,?,?
402,'2022/03/31 18:31:04:750',3,39,563,427,1,2,2,2,1,0,?,?,?,?,?
403,'2022/03/31 18:31:04:904',3,40,490,354,1,2,2,2,1,0,?,?,?,?,?
404,'2022/03/31 18:31:05:060',3,40,424,300,1,2,2,2,1,0,?,?,?,?,?
405,'2022/03/31 18:31:05:211',3,40,412,278,2,2,2,2,1,0,?,?,?,?,?
406,'2022/03/31 18:31:05:369',3,40,419,253,2,2,2,2,1,0,?,?,?,?,?
407,'2022/03/31 18:31:05:524',3,40,464,229,1,2,2,1,1,0,?,?,?,?,?
408,'2022/03/31 18:31:05:680',3,40,488,215,2,1,2,2,1,0,?,?,?,?,?
409,'2022/03/31 18:31:05:838',3,40,482,218,2,1,2,2,1,0,?,?,?,?,?
410,'2022/03/31 18:31:05:989',3,40,453,203,2,2,2,2,1,0,?,?,?,?,?
411,'2022/03/31 18:31:06:141',3,40,534,206,2,2,2,2,1,0,?,?,?,?,?
412,'2022/03/31 18:31:06:300',3,40,649,227,2,2,2,2,1,0,?,?,?,?,?
413,'2022/03/31 18:31:06:454',3,40,698,283,2,2,2,2,1,0,?,?,?,?,?
414,'2022/03/31 18:31:06:612',3,39,707,357,2,2,2,2,1,0,?,?,?,?,?
415,'2022/03/31 18:31:06:769',3,39,694,441,2,2,2,2,1,0,?,?,?,?,?
416,'2022/03/31 18:31:06:923',3,39,646,528,1,2,2,2,1,0,?,?,?,?,?
417,'2022/03/31 18:31:07:075',3,39,657,576,1,2,2,2,1,0,?,?,?,?,?
418,'2022/03/31 18:31:07:226',3,39,622,622,1,2,2,2,1,0,?,?,?,?,?
419,'2022/03/31 18:31:07:385',3,40,642,679,2,2,2,2,1,0,?,?,?,?,?
420,'2022/03/31 18:31:07:539',3,40,627,728,2,2,2,2,1,0,?,?,?,?,?
421,'2022/03/31 18:31:07:696',3,40,649,770,2,2,2,2,1,0,?,?,?,?,?
422,'2022/03/31 18:31:07:848',3,40,602,818,2,2,2,2,1,0,?,?,?,?,?
423,'2022/03/31 18:31:08:003',3,40,518,832,2,2,2,2,1,0,?,?,?,?,?
424,'2022/03/31 18:31:08:159',3,40,449,811,2,2,2,2,1,0,?,?,?,?,?
425,'2022/03/31 18:31:08:315',3,40,549,762,1,2,2,2,1,0,?,?,?,?,?
426,'2022/03/31 18:31:08:468',3,40,710,657,1,2,2,2,1,0,?,?,?,?,?
427,'2022/03/31 18:31:08:624',3,40,739,562,1,2,2,2,1,0,?,?,?,?,?
428,'2022/03/31 18:31:08:781',3,39,649,507,1,1,2,2,1,0,?,?,?,?,?
429,'2022/03/31 18:31:08:937',3,39,347,440,2,2,2,2,1,0,?,?,?,?,?
430,'2022/03/31 18:31:09:090',3,38,170,365,2,1,1,2,1,0,?,?,?,?,?
431,'2022/03/31 18:31:09:246',3,38,146,354,2,2,2,2,1,0,?,?,?,?,?
432,'2022/03/31 18:31:09:403',3,38,231,345,2,2,2,2,1,0,?,?,?,?,?
