@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric
@attribute processing-8 numeric
@attribute processing-9 numeric
@attribute processing-10 numeric

@data
154,'2021/10/25 16:53:59:542',2,49,36,48,878,1045,911,2,?,?,?,0.98,?,?,?,?,?,?
155,'2021/10/25 16:53:59:698',2,50,36,49,885,1044,904,2,?,?,?,0.98,?,?,?,?,?,?
156,'2021/10/25 16:53:59:854',2,51,36,49,889,1045,898,2,?,?,?,0.98,?,?,?,?,?,?
157,'2021/10/25 16:54:00:010',2,52,37,47,893,1045,893,2,?,?,?,0.98,?,?,?,?,?,?
158,'2021/10/25 16:54:00:164',2,55,37,46,892,1045,898,2,?,?,?,0.98,?,?,?,?,?,?
159,'2021/10/25 16:54:00:321',2,59,38,45,891,1043,905,2,?,?,?,0.98,?,?,?,?,?,?
160,'2021/10/25 16:54:00:476',2,63,38,46,891,1041,912,2,?,?,?,0.98,?,?,?,?,?,?
161,'2021/10/25 16:54:00:632',2,62,37,45,892,1041,913,2,?,?,?,0.98,?,?,?,?,?,?
162,'2021/10/25 16:57:17:902',3,75,37,58,918,1051,773,2,0.81,?,?,?,?,?,?,?,?,?
163,'2021/10/25 16:57:18:058',3,72,37,64,912,1051,775,2,0.81,?,?,?,?,?,?,?,?,?
164,'2021/10/25 16:57:18:213',3,70,37,66,909,1051,775,2,0.81,?,?,?,?,?,?,?,?,?
165,'2021/10/25 16:57:18:369',3,67,37,74,907,1051,776,2,0.81,?,?,?,?,?,?,?,?,?
166,'2021/10/25 16:57:18:524',3,62,37,62,905,1052,777,2,0.81,?,?,?,?,?,?,?,?,?
167,'2021/10/25 16:57:18:679',3,55,37,56,907,1051,778,2,0.81,?,?,?,?,?,?,?,?,?
168,'2021/10/25 16:57:18:836',3,55,37,61,906,1051,781,2,0.81,?,?,?,?,?,?,?,?,?
169,'2021/10/25 16:57:18:992',3,56,37,56,899,1052,782,2,0.81,?,?,?,?,?,?,?,?,?
170,'2021/10/25 16:57:19:146',3,57,38,54,899,1052,783,2,0.81,?,?,?,?,?,?,?,?,?
171,'2021/10/25 16:57:19:303',3,57,38,50,900,1051,782,2,0.81,?,?,?,?,?,?,?,?,?
172,'2021/10/25 16:57:19:460',3,56,39,45,903,1051,780,2,0.81,?,?,?,?,?,?,?,?,?
173,'2021/10/25 16:57:19:617',3,54,38,44,915,1051,777,2,0.81,?,?,?,?,?,?,?,?,?
174,'2021/10/25 16:57:19:771',3,55,37,46,923,1051,770,2,0.81,?,?,?,?,?,?,?,?,?
175,'2021/10/25 16:57:19:928',3,56,38,47,925,1051,764,2,0.81,?,?,?,?,?,?,?,?,?
176,'2021/10/25 16:57:20:084',3,56,38,47,921,1051,765,2,0.81,?,?,?,?,?,?,?,?,?
177,'2021/10/25 16:57:20:243',3,55,37,48,911,1051,767,2,0.81,?,?,?,?,?,?,?,?,?
178,'2021/10/25 16:57:20:397',3,55,37,46,904,1050,775,2,0.81,?,?,?,?,?,?,?,?,?
179,'2021/10/25 16:57:20:551',3,51,37,45,900,1049,784,2,0.81,?,?,?,?,?,?,?,?,?
180,'2021/10/25 16:57:20:707',3,52,37,45,901,1048,785,2,0.81,?,?,?,?,?,?,?,?,?
181,'2021/10/25 16:57:20:863',3,54,38,45,902,1047,784,2,0.81,?,?,?,?,?,?,?,?,?
182,'2021/10/25 16:57:21:018',3,58,40,47,904,1048,779,2,0.81,?,?,?,?,?,?,?,?,?
183,'2021/10/25 16:57:21:173',3,57,40,49,905,1050,773,2,0.81,?,?,?,?,?,?,?,?,?
184,'2021/10/25 16:57:21:328',3,57,40,49,910,1050,771,2,0.81,?,?,?,?,?,?,?,?,?
185,'2021/10/25 16:57:21:482',3,56,39,51,913,1051,772,2,0.81,?,?,?,?,?,?,?,?,?
186,'2021/10/25 16:57:21:637',3,52,37,48,911,1051,779,2,0.81,?,?,?,?,?,?,?,?,?
187,'2021/10/25 16:57:21:792',3,52,36,47,908,1051,782,2,0.81,?,?,?,?,?,?,?,?,?
188,'2021/10/25 16:57:21:947',3,51,37,46,906,1050,782,2,0.81,?,?,?,?,?,?,?,?,?
189,'2021/10/25 16:57:22:103',3,49,38,45,906,1050,780,2,0.81,?,?,?,?,?,?,?,?,?
190,'2021/10/25 16:57:22:259',3,49,40,49,906,1051,776,2,0.81,?,?,?,?,?,?,?,?,?
191,'2021/10/25 16:57:22:415',3,49,41,48,911,1051,778,2,0.81,?,?,?,?,?,?,?,?,?
192,'2021/10/25 16:57:22:571',3,50,42,48,913,1051,778,2,0.81,?,?,?,?,?,?,?,?,?
193,'2021/10/25 16:57:22:727',3,48,45,49,913,1052,781,2,0.81,?,?,?,?,?,?,?,?,?
194,'2021/10/25 16:57:22:882',3,48,49,44,913,1052,781,2,0.81,?,?,?,?,?,?,?,?,?
195,'2021/10/25 16:57:23:038',3,48,48,44,917,1052,780,2,0.81,?,?,?,?,?,?,?,?,?
196,'2021/10/25 16:57:23:195',3,49,48,44,920,1052,780,2,0.81,?,?,?,?,?,?,?,?,?
197,'2021/10/25 16:57:23:351',3,49,42,48,918,1052,778,2,0.81,?,?,?,?,?,?,?,?,?
198,'2021/10/25 16:57:23:505',3,48,39,49,911,1053,779,2,0.81,?,?,?,?,?,?,?,?,?
199,'2021/10/25 16:57:23:660',3,48,40,51,908,1053,778,1,0.81,?,?,?,?,?,?,?,?,?
200,'2021/10/25 16:57:23:817',3,45,38,50,908,1053,778,1,0.81,?,?,?,?,?,?,?,?,?
201,'2021/10/25 16:57:23:972',3,44,39,46,916,1052,774,1,0.81,?,?,?,?,?,?,?,?,?
202,'2021/10/25 16:57:24:127',3,45,39,47,926,1051,769,2,0.81,?,?,?,?,?,?,?,?,?
203,'2021/10/25 16:57:24:283',3,54,40,49,912,1051,767,1,0.81,?,?,?,?,?,?,?,?,?
204,'2021/10/25 16:57:24:438',3,63,40,48,902,1052,771,2,0.81,?,?,?,?,?,?,?,?,?
205,'2021/10/25 16:57:24:593',3,73,43,63,896,1052,772,2,0.81,?,?,?,?,?,?,?,?,?
206,'2021/10/25 16:57:24:746',3,76,45,75,899,1053,773,2,0.81,?,?,?,?,?,?,?,?,?
207,'2021/10/25 16:57:24:903',3,66,46,85,913,1053,772,2,0.81,?,?,?,?,?,?,?,?,?
208,'2021/10/25 16:57:25:059',3,58,44,98,919,1054,772,2,0.81,?,?,?,?,?,?,?,?,?
209,'2021/10/25 16:57:25:213',3,52,42,81,920,1053,771,2,0.81,?,?,?,?,?,?,?,?,?
210,'2021/10/25 16:57:25:369',3,49,41,75,923,1053,770,2,0.81,?,?,?,?,?,?,?,?,?
211,'2021/10/25 16:57:25:524',3,48,40,65,926,1052,770,1,0.81,?,?,?,?,?,?,?,?,?
212,'2021/10/25 16:57:25:679',3,47,41,62,928,1053,757,1,0.81,?,?,?,?,?,?,?,?,?
213,'2021/10/25 16:57:25:837',3,50,38,58,927,1055,748,1,0.81,?,?,?,?,?,?,?,?,?
214,'2021/10/25 16:57:25:993',3,51,39,51,929,1055,738,1,0.81,?,?,?,?,?,?,?,?,?
215,'2021/10/25 16:57:26:147',3,52,44,50,929,1054,733,2,0.81,?,?,?,?,?,?,?,?,?
216,'2021/10/25 16:57:26:304',3,50,44,47,925,1054,743,2,0.81,?,?,?,?,?,?,?,?,?
217,'2021/10/25 16:57:26:462',3,46,45,46,917,1053,756,2,0.81,?,?,?,?,?,?,?,?,?
218,'2021/10/25 16:57:26:618',3,47,41,47,913,1053,766,2,0.81,?,?,?,?,?,?,?,?,?
219,'2021/10/25 16:57:26:772',3,48,42,49,913,1053,769,2,0.81,?,?,?,?,?,?,?,?,?
220,'2021/10/25 16:57:26:927',3,48,43,53,917,1053,770,1,0.81,?,?,?,?,?,?,?,?,?
