@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
546,'2020/12/18 20:32:50:014',17,249,278,37,2,696,2,2,?,?,?,?,?,0,127
547,'2020/12/18 20:32:50:215',17,234,263,36,2,696,1,2,?,?,?,?,?,0,127
548,'2020/12/18 20:32:50:417',17,189,260,35,2,696,2,2,?,?,?,?,?,0,127
549,'2020/12/18 20:32:50:618',17,155,234,36,2,697,2,2,?,?,?,?,?,0,127
550,'2020/12/18 20:32:50:820',17,191,181,35,2,697,2,2,?,?,?,?,?,0,127
551,'2020/12/18 20:32:51:021',17,154,134,34,1,697,2,2,?,?,?,?,?,0,127
552,'2020/12/18 20:32:51:222',17,131,89,34,2,697,2,2,?,?,?,?,?,0,127
553,'2020/12/18 20:32:51:424',17,181,58,43,2,697,2,2,?,?,?,?,?,0,127
554,'2020/12/18 20:32:51:624',17,184,70,91,2,696,2,1,?,?,?,?,?,0,127
555,'2020/12/18 20:32:51:826',17,144,279,339,1,695,2,2,?,?,?,?,?,0,127
556,'2020/12/18 20:32:52:027',17,174,522,597,1,693,2,2,?,?,?,?,?,0,127
557,'2020/12/18 20:32:52:230',17,209,502,771,2,692,2,2,?,?,?,?,?,0,127
558,'2020/12/18 20:32:52:430',17,169,235,733,2,691,2,2,?,?,?,?,?,0,127
559,'2020/12/18 20:32:52:632',17,167,135,741,2,691,2,1,?,?,?,?,?,0,127
560,'2020/12/18 20:32:52:833',17,208,243,700,2,691,2,2,?,?,?,?,?,0,127
561,'2020/12/18 20:32:53:034',17,207,351,556,2,691,2,1,?,?,?,?,?,0,127
562,'2020/12/18 20:32:53:235',17,156,337,282,2,691,2,2,?,?,?,?,?,0,127
563,'2020/12/18 20:32:53:437',17,140,229,109,2,692,2,2,?,?,?,?,?,0,127
564,'2020/12/18 20:32:53:637',17,206,158,55,2,693,2,2,?,?,?,?,?,0,127
565,'2020/12/18 20:32:53:839',17,201,110,37,2,693,2,1,?,?,?,?,?,0,127
566,'2020/12/18 20:32:54:041',17,149,104,35,2,692,2,1,?,?,?,?,?,0,127
567,'2020/12/18 20:32:54:242',17,132,137,40,1,691,2,2,?,?,?,?,?,0,127
568,'2020/12/18 20:32:54:444',17,201,173,41,2,690,2,2,?,?,?,?,?,0,127
569,'2020/12/18 20:32:54:646',17,201,200,43,2,690,2,2,?,?,?,?,?,0,127
570,'2020/12/18 20:32:54:847',17,149,213,39,2,689,2,2,?,?,?,?,?,0,127
571,'2020/12/18 20:32:55:048',17,129,199,38,2,688,2,2,?,?,?,?,?,0,127
572,'2020/12/18 20:32:55:248',17,189,133,36,2,688,2,2,?,?,?,?,?,0,127
